*ItemCode,ItemName,Quantity,PurchasesDescription,PurchasesUnitPrice,PurchasesAccount,PurchasesTaxRate,SalesDescription,SalesUnitPrice,SalesAccount,SalesTaxRate,InventoryAssetAccount,CostOfGoodsSoldAccount,Status,InventoryType
FINCO,Chicken Breast 2kg,,Chicken Breast 2kg,13.20,310,GST Free Expenses,,,,,,,Active,Untracked
FLAKED ALMONDS,ALMONDS FLAKED,,ALMONDS FLAKED,21.96,310,GST Free Expenses,,,,,,,Active,Untracked
FOUN,Worcestershire Sauce,,Worcestershire Sauce,11.00,310,GST Free Expenses,,,,,,,Active,Untracked
FREIGHT,FREIGHT,,FREIGHT,0.00,425,GST on Expenses,,,,,,,Active,Untracked
FRIDGE REPAIR,FRIDGE REPAIR,,FRIDGE REPAIR,0.00,473,GST on Expenses,,,,,,,Active,Untracked
Fruit Loaf,Fruit Loaf,,Fruit Loaf,6.95,310,GST Free Expenses,,,,,,,Active,Untracked
FSSANX,SMOKED SALMON,,SMOKED SALMON,30.60,310,GST Free Expenses,,,,,,,Active,Untracked
FSSTNO,Smoked Salmon,,Smoked Salmon,19.00,310,GST Free Expenses,,,,,,,Active,Untracked
GAP,Garlic Peeled,,Garlic Peeled,7.50,310,GST Free Expenses,,,,,,,Active,Untracked
Gas Charges,Gas Charges,,Gas Charges,209.61,123,GST on Expenses,,,,,,,Active,Untracked
GC0250,OJ GROVE,,OJ GROVE,17.10,310,GST Free Expenses,,,,,,,Active,Untracked
GFAN,Peking Duck Spring Rolls,,Peking Duck Spring Rolls,13.00,310,GST Free Expenses,,,,,,,Active,Untracked
GI,Ginger,,Ginger,24.00,310,GST Free Expenses,,,,,,,Active,Untracked
GOODS,GOODS,,GOODS,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
GR,Grapes,,Grapes,5.00,310,GST Free Expenses,,,,,,,Active,Untracked
Green Sencha,Green Tea,,Green Tea,20.00,310,GST Free Expenses,,,,,,,Active,Untracked
GRILL CLEANER,GRILL CLEANER,,GRILL CLEANER,20.91,460,GST on Expenses,,,,,,,Active,Untracked
Grinder Clean,Grinder Clean,,Grinder Clean,44.00,408,GST on Expenses,,,,,,,Active,Untracked
Grocery Supplies,Woolworths,,Woolworths,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
GSUP,COCONUT CREAM,,COCONUT CREAM,1.77,310,GST Free Expenses,,,,,,,Active,Untracked
HAM43624,Champagne Ham,,Champagne Ham,8.70,310,GST Free Expenses,,,,,,,Active,Untracked
Hand Sanitizer,Hand Sanitizer,,Hand Sanitizer,54.55,PACK,GST on Expenses,,,,,,,Active,Untracked
HAST,Greek Feta,,Greek Feta,23.50,310,GST Free Expenses,,,,,,,Active,Untracked
HAZELNUT LOG,HAZELNUT LOG,,H,34.95,310,GST on Expenses,,,,,,,Active,Untracked
HENKT,Passionfruit Slice,,Passionfruit Slice,18.50,310,GST on Expenses,,,,,,,Active,Untracked
Honey,Honey,,Honey 3Kg,23.56,310,GST Free Expenses,,,,,,,Active,Untracked
HOTCH,Chocolate Powder,,Chocolate Rich Drinking Botero 21% 1Kg,10.50,310,GST on Expenses,,,,,,,Active,Untracked
Ice,Ice,,Ice,4.50,310,GST on Expenses,,,,,,,Active,Untracked
Icing Sugar,Icing Sugar,,Icing Sugar,3.10,310,GST Free Expenses,,,,,,,Active,Untracked
INGH,Chicken Nuggets,,Chicken Nuggets,16.10,310,GST Free Expenses,,,,,,,Active,Untracked
Jaffa Cakes,Jaffa Cakes,,Jaffa Cakes,18.95,310,GST on Expenses,,,,,,,Active,Untracked
JAM,JAM,,JAM,13.45,310,GST Free Expenses,,,,,,,Active,Untracked
James Boags Light,James Boags Light,,James Boags Light,18.59,310,GST on Expenses,,,,,,,Active,Untracked
JIM,Sate Sauce,,Sate Sauce,7.13,310,GST Free Expenses,,,,,,,Active,Untracked
JUICE,NOAHS JUICE,,NOAHS JUICE,0.00,310,GST Free Expenses,,,,,,,Active,Untracked
JUST,Prawn Cutlet Raw 21/25,,Prawn Cutlet Raw 21/25,28.31,310,GST Free Expenses,,,,,,,Active,Untracked
Kahlua,Kahlua,,Kahlua,27.90,310,GST on Expenses,,,,,,,Active,Untracked
